Player,EPVA,Team,Photo
Andrei Kirilenko,-0.3136803,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/434.png
Deron Williams,0.77419704,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2798.png
Reggie Evans,-0.06914299,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1828.png
Paul Pierce,0.24280592,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/662.png
Shaun Livingston,-0.43829261,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2393.png
Jason Terry,-1.25643407,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/841.png
Joe Johnson,0.64190107,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1007.png
Kevin Garnett,-1.3399889,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/261.png
Andray Blatche,-0.15308527,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2746.png
Brook Lopez,1.99067482,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3448.png
Alan Anderson,-1.56367333,Home,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6569.png
LeBron James,8.33679609,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1966.png
Shane Battier,-0.14048932,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/976.png
Dwyane Wade,0.88844067,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1987.png
Mario Chalmers,-0.83819352,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3419.png
Chris Andersen,0.80299366,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1135.png
Chris Bosh,1.7937933,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1977.png
Norris Cole,-1.80424804,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6431.png
Udonis Haslem,0.92795624,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2184.png
Rashard Lewis,-0.03590476,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/469.png
Ray Allen,0.75300548,Away,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/9.png
