possID,Play_by_Play,Score
1,Personal foul by P. Pierce (drawn by L. James),0-0
2,Def 3 sec tech foul by B. Lopez,1-0
3,L. James misses 2-pt jump shot from 20 ft,1-0
4,D. Williams makes 3-pt jump shot from 25 ft (assist by P. Pierce),1-3
5,D. Wade makes 2-pt jump shot from 18 ft,3-3
6,Personal foul by U. Haslem (drawn by B. Lopez),3-3
7,Turnover by K. Garnett (bad pass; steal by U. Haslem),3-3
8,C. Bosh misses 2-pt jump shot from 19 ft,3-3
9,D. Williams makes 2-pt layup from 1 ft,3-5
10,Turnover by L. James (bad pass; steal by B. Lopez),3-5
11,J. Johnson makes 2-pt jump shot from 7 ft (assist by D. Williams),3-7
12,M. Chalmers misses 3-pt jump shot from 26 ft,3-7
13,Shooting foul by C. Bosh (drawn by B. Lopez),3-9
14,C. Bosh lay-up,3-9
15,D. Wade misses 2-pt jump shot from 8 ft (block by B. Lopez),3-9
16,K. Garnett misses 2-pt jump shot from 12 ft,3-9
17,C. Bosh misses 3-pt jump shot from 24 ft (+ James TO),3-9
18,Turnover by P. Pierce (bad pass; steal by L. James),3-9
19,Personal foul by J. Johnson (drawn by L. James),3-9
20,U. Haslem misses 2-pt jump shot from 18 ft,3-9
21,B. Lopez makes 2-pt layup from 3 ft (assist by K. Garnett),3-11
22,Miami full timeout,3-11
23,Turnover by M. Chalmers (offensive foul),3-11
24,J. Johnson misses 2-pt jump shot from 15 ft,3-11
27,B. Lopez misses 2-pt jump shot from 9 ft,3-11
28,C. Bosh makes 3-pt jump shot from 24 ft (assist by L. James),6-11
29,A. Blatche makes 2-pt jump shot from 4 ft (assist by P. Pierce),6-13
30,Shooting foul by A. Blatche (drawn by C. Bosh),6-13
31,Turnover by B. Lopez (bad pass; steal by M. Chalmers),8-13
32,Shooting foul by B. Lopez (drawn by U. Haslem),8-13
33,Shooting foul by U. Haslem (drawn by B. Lopez),8-14
34,U. Haslem makes 2-pt layup from 3 ft (assist by M. Chalmers),10-14
35,Offensive foul by J. Johnson (drawn by D. Wade),10-14
36,M. Chalmers makes 3-pt jump shot from 25 ft (assist by D. Wade),13-14
37,B. Lopez makes 2-pt jump shot from 14 ft (assist by P. Pierce),13-16
38,U. Haslem misses 2-pt jump shot from 3 ft,13-16
39,Turnover by P. Pierce (bad pass; steal by D. Wade),13-16
40,C. Bosh makes 2-pt jump shot from 16 ft (assist by L. James),15-16
41,P. Pierce makes 2-pt jump shot from 14 ft,15-18
42,C. Bosh misses 2-pt layup from 2 ft,15-18
43,S. Livingston makes 2-pt layup from 2 ft,15-20
44,Miami full timeout,15-20
45,L. James misses 2-pt jump shot from 8 ft,15-20
46,A. Anderson misses 2-pt jump shot from 18 ft,15-20
47,L. James misses 2-pt jump shot from 2 ft (block by S. Livingston) + James off rb,17-20
48,B. Lopez misses 2-pt jump shot from 19 ft,17-20
49,M. Chalmers misses 2-pt layup from 2 ft,17-20
50,Offensive charge foul by B. Lopez (drawn by S. Battier),17-20
51,Personal foul by A. Anderson (drawn by L. James),18-20
52,J. Terry makes 3-pt jump shot from 23 ft (assist by A. Blatche),18-23
53,S. Battier misses 3-pt jump shot from 25 ft,18-23
54,S. Livingston misses 2-pt jump shot from 15 ft,18-23
55,Turnover by L. James (traveling),18-23
56,J. Terry makes 3-pt jump shot from 25 ft,18-26
57,Turnover by N. Cole (bad pass; steal by A. Blatche),18-26
58,Shooting foul by S. Battier (drawn by A. Kirilenko),18-27
59,End of 1st quarter,18-27
60,D. Williams makes 2-pt layup from 2 ft (assist by A. Kirilenko),18-29
61,Shooting foul by A. Anderson (drawn by D. Wade),20-29
62,Personal foul by C. Andersen (drawn by A. Kirilenko),20-29
63,A. Kirilenko makes 2-pt jump shot from 5 ft (assist by J. Terry),20-31
64,D. Wade makes 2-pt jump shot from 20 ft,22-31
65,D. Williams misses 2-pt jump shot from 17 ft,22-31
66,Shooting foul by A. Kirilenko (drawn by D. Wade),24-31
67,Turnover by J. Terry (bad pass),24-31
68,N. Cole makes 2-pt jump shot from 9 ft (assist by S. Battier),26-31
69,K. Garnett misses 2-pt jump shot from 10 ft,26-31
70,Turnover by D. Wade (traveling),26-31
71,D. Williams misses 3-pt jump shot from 28 ft,26-31
72,Official timeout,26-31
73,D. Wade misses 2-pt jump shot from 19 ft,26-31
74,Personal foul by C. Andersen (drawn by J. Terry),26-31
75,K. Garnett makes 2-pt jump shot from 11 ft (assist by D. Williams),26-33
76,R. Allen makes 2-pt jump shot from 15 ft (assist by C. Andersen),28-33
77,K. Garnett misses 2-pt jump shot from 13 ft,28-33
78,R. Allen makes 2-pt layup from 1 ft,30-33
79,D. Williams misses 3-pt jump shot from 25 ft,30-33
80,S. Battier misses 3-pt jump shot from 24 ft,30-33
81,Turnover by D. Williams (lost ball),30-33
82,C. Bosh misses 2-pt jump shot from 18 ft,30-33
83,K. Garnett makes 2-pt jump shot from 16 ft (assist by J. Terry),30-35
84,D. Wade misses 2-pt jump shot from 14 ft,30-35
85,J. Johnson makes 2-pt jump shot from 19 ft,30-37
86,C. Bosh makes 2-pt jump shot from 18 ft (assist by N. Cole),32-37
87,B. Lopez makes 2-pt layup from 2 ft (assist by D. Williams),32-39
88,N. Cole makes 2-pt layup from 2 ft,34-39
89,A. Blatche misses 2-pt layup from 3 ft (+ off RB by Blatche),34-39
90,L. James makes 2-pt layup from 3 ft (assist by R. Lewis),36-39
91,J. Johnson makes 2-pt jump shot from 20 ft,36-41
92,L. James misses 2-pt jump shot from 15 ft,36-41
93,Shooting foul by R. Lewis (drawn by J. Johnson),36-42
94,J. Johnson lay-up,36-42
95,N. Cole misses 2-pt jump shot from 17 ft,36-42
96,Turnover by P. Pierce (bad pass; steal by R. Lewis),36-42
97,L. James makes 2-pt dunk from 1 ft (assist by M. Chalmers),38-42
98,P. Pierce misses 3-pt jump shot from 22 ft,38-42
99,C. Bosh makes 2-pt dunk from 2 ft (assist by N. Cole),40-42
100,Brooklyn full timeout,40-42
